origin_node,dest_node,transport_mode,carrier_name,distance_km,base_time_hours,base_cost_usd,co2_emissions_kg,carrier_reliability_score,risk_factor
Tangier MED,Algeciras,Sea,CMA CGM,40,1.5,450.00,6.00,0.94,0.01
Tangier MED,Algeciras,Sea,Maersk,40,1.5,460.00,6.00,0.93,0.01
Tangier MED,Barcelona,Sea,MSC,1100,32.0,1200.00,165.00,0.91,0.02
Tangier MED,Valencia,Sea,Hapag-Lloyd,980,28.0,1100.00,147.00,0.92,0.02
Casablanca,Rotterdam,Sea,Maersk,2600,75.0,2400.00,390.00,0.89,0.03
Casablanca,Antwerp,Sea,MSC,2550,74.0,2350.00,382.50,0.90,0.03
Casablanca,Hamburg,Sea,CMA CGM,2900,84.0,2700.00,435.00,0.88,0.04
Jorf Lasfar,Rotterdam,Sea,Pan Ocean,2650,76.0,2500.00,397.50,0.86,0.04
Jorf Lasfar,Antwerp,Sea,Frontline,2600,75.0,2450.00,390.00,0.87,0.04
Nador,Algeciras,Sea,Evergreen Marine,320,10.0,650.00,48.00,0.91,0.02
Nador,Barcelona,Sea,MSC,950,27.0,1150.00,142.50,0.92,0.02
Nador,Marseille,Sea,CMA CGM,1100,32.0,1300.00,165.00,0.89,0.03
Agadir,Rotterdam,Sea,Maersk,3100,90.0,2900.00,465.00,0.90,0.04
Agadir,Le Havre,Sea,Hapag-Lloyd,2800,81.0,2600.00,420.00,0.92,0.03
Safi,Rotterdam,Sea,COSCO Shipping,2800,81.0,2650.00,420.00,0.87,0.04
Tangier MED,Genova,Sea,MSC,1400,40.0,1450.00,210.00,0.93,0.02
Tangier MED,Marseille,Sea,CMA CGM,1350,39.0,1400.00,202.50,0.91,0.02
Casablanca,Valencia,Sea,Hapag-Lloyd,1150,33.0,1350.00,172.50,0.93,0.02
Casablanca,Barcelona,Sea,Evergreen Marine,1250,36.0,1450.00,187.50,0.89,0.03
Dakhla,Algeciras,Sea,Maersk,1500,44.0,1600.00,225.00,0.88,0.04
Dakhla,Rotterdam,Sea,MSC,3300,96.0,3100.00,495.00,0.89,0.04
Laayoune,Algeciras,Sea,CMA CGM,1100,32.0,1350.00,165.00,0.90,0.03
Tangier MED,Bremerhaven,Sea,HMM,2750,79.0,2550.00,412.50,0.94,0.03
Tangier MED,Southampton,Sea,Maersk,2200,63.0,2100.00,330.00,0.92,0.02
Casablanca,Piraeus,Sea,COSCO Shipping,2950,85.0,2800.00,442.50,0.89,0.03
Nador,Valencia,Sea,Evergreen Marine,450,13.0,750.00,67.50,0.90,0.02
Agadir,Marseille,Sea,CMA CGM,2150,62.0,2150.00,322.50,0.91,0.03
Tangier MED,Sines,Sea,MSC,480,14.0,850.00,72.00,0.93,0.02
Casablanca,Sines,Sea,Maersk,550,16.0,900.00,82.50,0.92,0.02
Jorf Lasfar,Hamburg,Sea,Pan Ocean,3050,88.0,2850.00,457.50,0.85,0.04
